publication_series,pub_canonical,n
Analysis,Analysis,7444
Biology & Philosophy,Biology & Philosophy,1556
Episteme,Episteme,482
"Ergo, an Open Access Journal of Philosophy",Ergo,120
Erkenntnis,Erkenntnis,2763
European Journal for Philosophy of Science,EJPS,200
Foundations of Physics,Foundations of Physics,4272
Foundations of Science,Foundations of Science,745
HOPOS: The Journal of the International Society for the History of Philosophy of Science,HOPOS,300
Hypatia,Hypatia,1826
International Studies in the Philosophy of Science,ISPS,887
Journal for General Philosophy of Science,JGPS,797
Journal of Economic Methodology,Economic Methodology,833
Journal of Philosophy,J Philosophy,4505
Logos & Episteme,Logos and Episteme,381
Metaphilosophy,Metaphilosophy,1456
Mind,Mind,15000
Monist,Monist,3917
Nous,Nous,553
Noûs,Nous,1943
Perspectives on Science,Perspectives on Science,486
Philosophical Review,Phil Review,887
Philosophical Studies,Phil Studies,5309
Philosophy and Phenomenological Research,Phil Phenom Res,7426
Philosophy and Theory in Biology,PTP Bio,27
Philosophy of Science,Philosophy of Science,6158
Philosophy of the Social Sciences,Phil Soc Sci,2059
Proceedings of the Aristotelian Society,Proc Arist Soc,1796
Proceedings of the Aristotelian Society (Hardback),Proc Arist Soc,192
PSA: Proceedings of the Biennial Meeting of the Philosophy of Science Association,Philosophy of Science,954
Science & Education,Science and Education,1308
Science and Education,Science and Education,247
Science Education,Science and Education,64
Science in Context,Science in Context,936
"Science, Technology, & Human Values",Sci Tech Human Values,1944
Signs: Journal of Women in Culture and Society,Signs,4185
Social Epistemology,Social Epistemology,1070
Spontaneous Generations: A Journal for the History and Philosophy of Science,Spontaneous Generations,179
Studies in History and Philosophy of Science Part A,Studies in HPS A,2083
Studies In History and Philosophy of Science Part A,Studies in HPS A,13
Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Studies in HPS B,1102
Studies In History and Philosophy of Science Part B: Studies In History and Philosophy of Modern Physics,Studies in HPS B,1
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,Studies in HPS C,1214
Synthese,Synthese,6880
The British Journal for the Philosophy of Science,BJPS,3901
The British Journal For The Philosophy Of Science,BJPS,13
The Journal of Philosophy,J Philosophy,7960
The Monist,Monist,1691
The Philosophical Review,Phil Review,9129
Topoi,Topoi,943
